x,y,layer1,layer2,voltage1,voltage2,current
1162.65,254.67,GP1_GND_,L3,1.9796e-05,2.01544e-05,-0.00564882
1162.65,254.67,L3,L4,2.01544e-05,2.02761e-05,-0.00564882
1162.65,254.67,L4,P3V3,2.02761e-05,2.02761e-05,-1.06813e-16
1162.65,254.67,P3V3,BOT,2.02761e-05,2.02761e-05,-3.14505e-16
1162.65,3601.13,TOP,GP1_GND_,0.000114324,0.000114324,5.03208e-15
1162.65,3601.13,GP1_GND_,L3,0.000114324,0.000114324,-0
1162.65,3601.13,L3,L4,0.000114324,0.000114324,-1.25802e-15
1162.65,3601.13,L4,P3V3,0.000114324,0.000114324,-2.56351e-15
1162.65,3601.13,P3V3,BOT,0.000114324,0.000114324,-3.14505e-15
1125.82,3390.92,TOP,GP1_GND_,0.000112632,0.000112632,-2.16109e-16
1125.82,3390.92,GP1_GND_,L3,0.000112632,0.000112632,-3.91443e-16
1125.82,3390.92,L3,L4,0.000112632,0.000112632,-4.32219e-16
1125.82,3390.92,L4,P3V3,0.000112632,0.000112632,-4.03676e-16
1125.82,3390.92,P3V3,BOT,0.000112632,0.000112632,-4.32219e-16
1169.12,2377.36,TOP,GP1_GND_,3.29642,3.29642,-4.72098e-12
1169.12,2377.36,GP1_GND_,L3,3.29642,3.29642,-6.41341e-12
1169.12,2377.36,L3,L4,3.29642,3.29642,-4.72098e-12
1169.12,2377.36,L4,P3V3,3.29642,3.29642,-6.81425e-12
1169.12,2377.36,P3V3,BOT,3.29642,3.29642,-1.18024e-11
1173.18,2629.05,TOP,GP1_GND_,9.60519e-05,9.6297e-05,-0.000651531
1173.18,2629.05,GP1_GND_,L3,9.6297e-05,9.6297e-05,-3.3028e-16
1173.18,2629.05,L3,L4,9.6297e-05,9.6297e-05,-3.60182e-16
1173.18,2629.05,L4,P3V3,9.6297e-05,9.6297e-05,-3.42513e-16
1173.18,2629.05,P3V3,BOT,9.6297e-05,9.6297e-05,-3.96201e-16
1183.05,1709.03,TOP,GP1_GND_,2.49967,2.49967,-1.18025e-12
1183.05,1709.03,GP1_GND_,L3,2.49967,2.49967,-2.00419e-12
1183.05,1709.03,L3,L4,2.49967,2.49967,-3.54074e-12
1183.05,1709.03,L4,P3V3,2.49967,2.49967,-8.81844e-12
1183.05,1709.03,P3V3,BOT,2.49967,2.49967,-9.44196e-12
1183.05,2122.37,TOP,GP1_GND_,2.49992,2.49991,0.0360166
1183.05,2122.37,GP1_GND_,L3,2.49991,2.49986,0.0360166
1183.05,2122.37,L3,L4,2.49986,2.49985,0.0360166
1183.05,2122.37,L4,P3V3,2.49985,2.49985,-8.81844e-12
1183.05,2122.37,P3V3,BOT,2.49985,2.49985,-9.44196e-12
1183.05,2170.79,TOP,GP1_GND_,2.49992,2.49991,0.0246032
1183.05,2170.79,GP1_GND_,L3,2.49991,2.49989,0.0246032
1183.05,2170.79,L3,L4,2.49989,2.49988,0.0246032
1183.05,2170.79,L4,P3V3,2.49988,2.49988,-8.81844e-12
1183.05,2170.79,P3V3,BOT,2.49988,2.49988,-9.44196e-12
1183.05,2219.21,TOP,GP1_GND_,2.49994,2.49993,0.0264133
1183.05,2219.21,GP1_GND_,L3,2.49993,2.4999,0.0264133
1183.05,2219.21,L3,L4,2.4999,2.49989,0.0264133
1183.05,2219.21,L4,P3V3,2.49989,2.49989,-8.81844e-12
1183.05,2219.21,P3V3,BOT,2.49989,2.49989,-9.44196e-12
1183.05,2267.63,TOP,GP1_GND_,2.49994,2.49993,0.0258098
1183.05,2267.63,GP1_GND_,L3,2.49993,2.4999,0.0258098
1183.05,2267.63,L3,L4,2.4999,2.49989,0.0258098
1183.05,2267.63,L4,P3V3,2.49989,2.49989,-8.81844e-12
1183.05,2267.63,P3V3,BOT,2.49989,2.49989,-9.44196e-12
1183.05,2313.86,TOP,GP1_GND_,2.49994,2.49993,0.027157
1183.05,2313.86,GP1_GND_,L3,2.49993,2.4999,0.027157
1183.05,2313.86,L3,L4,2.4999,2.49989,0.027157
1183.05,2313.86,L4,P3V3,2.49989,2.49989,-8.81844e-12
1183.05,2313.86,P3V3,BOT,2.49989,2.49989,-9.44196e-12
1191.73,952.334,TOP,GP1_GND_,2.76841e-05,2.76841e-05,4.50228e-17
1191.73,952.334,GP1_GND_,L3,2.76841e-05,2.15308e-05,0.00555393
1191.73,952.334,L3,L4,2.15308e-05,1.94411e-05,0.00555393
1191.73,952.334,L4,P3V3,1.94411e-05,1.94411e-05,-7.03375e-17
1191.73,952.334,P3V3,BOT,1.94411e-05,1.94411e-05,-7.20365e-17
1193.74,2899.85,TOP,GP1_GND_,0.000106056,0.000106056,-2.52128e-16
1193.74,2899.85,GP1_GND_,L3,0.000106056,0.000106056,-3.79211e-16
1193.74,2899.85,L3,L4,0.000106056,0.000106056,-3.60182e-16
1193.74,2899.85,L4,P3V3,0.000106056,0.000106056,-3.79211e-16
1193.74,2899.85,P3V3,BOT,0.000106056,0.000106056,-3.96201e-16
1208.6,3214.57,TOP,GP1_GND_,4.9993,4.99932,-0.059
1208.6,3214.57,GP1_GND_,L3,4.99932,4.99939,-0.059
1208.6,3214.57,L3,L4,4.99939,4.99941,-0.059
1208.6,3214.57,L4,P3V3,4.99941,4.99941,-0
1208.6,3214.57,P3V3,BOT,4.99941,4.99941,-0
1224.24,1462.77,TOP,GP1_GND_,-2.49936,-2.49936,1.18025e-12
1224.24,1462.77,GP1_GND_,L3,-2.49936,-2.49936,2.40503e-12
1224.24,1462.77,L3,L4,-2.49936,-2.49936,2.36049e-12
1224.24,1462.77,L4,P3V3,-2.49936,-2.49936,8.81844e-12
1224.24,1462.77,P3V3,BOT,-2.49936,-2.49936,9.44196e-12
1224.43,1789.37,TOP,GP1_GND_,-2.49942,-2.49942,-3.54074e-12
1224.43,1789.37,GP1_GND_,L3,-2.49942,-2.49942,-2.40503e-12
1224.43,1789.37,L3,L4,-2.49942,-2.49942,-1.18025e-12
1224.43,1789.37,L4,P3V3,-2.49942,-2.49942,8.81844e-12
1224.43,1789.37,P3V3,BOT,-2.49942,-2.49942,9.44196e-12
1224.98,3017.1,TOP,GP1_GND_,-4.99952,-4.99953,0.0295171
1224.98,3017.1,GP1_GND_,L3,-4.99953,-4.99957,0.0295171
